FMTNAME,TYPE,CODE,LABEL
ALOCUS,N,3301,33:01:00
ALOCUS,N,3303,33:03:00
ALOCUS,N,3401,34:01:00
ALOCUS,N,3402,34:02:00
ALOCUS,N,6601,66:01:00
ALOCUS,N,6602,66:02:00
ALOCUS,N,6801,68:01:00
ALOCUS,N,6802,68:02:00
ALOCUS,N,**OTHER**,Unknown
AMBSTAT,N,Null or Missing,Not Reported
AMBSTAT,N,1,Ambulatory
AMBSTAT,N,2,Not Ambulatory
AMBSTAT,N,**OTHER**,Unknown
ANGINA,N,Null or Missing,Not Reported
ANGINA,N,1,No angina
ANGINA,N,2,Stable angina - strenuous activity results in angina
ANGINA,N,3,Stable angina - ordinary physical activity results in ang
ANGINA,N,4,Stable angina - no rest angina; does have angina with les
ANGINA,N,5,Stable angina - angina with any physical activity or at r
ANGINA,N,6,Unstable angina
ANGINA,N,7,"Angina, stability unknown"
ANGINA,N,998,Unknown if angina present
ANGINA,N,**OTHER**,Unknown
ANGINCAD,N,Null or Missing,Not Reported
ANGINCAD,N,1,No
ANGINCAD,N,2,"Yes, w/ docum. Coronary Artery Disease"
ANGINCAD,N,3,"Yes, w/ no docum. Coronary Artery Dis."
ANGINCAD,N,4,"Yes, but Coronary Artery Disease unknown"
ANGINCAD,N,998,Status Unknown
ANGINCAD,N,**OTHER**,Unknown
ANGIO,N,Null or Missing,Not Reported
ANGIO,N,1,No
ANGIO,N,2,"Yes, normal"
ANGIO,N,3,"Yes, not normal"
ANGIO,N,**OTHER**,Unknown
BIOPCONF,N,Null or Missing,Not Reported
BIOPCONF,N,1,Biopsy not done
BIOPCONF,N,2,"Yes, rejection confirmed"
BIOPCONF,N,3,"Yes, rejection not confirmed"
BIOPCONF,N,**OTHER**,Unknown
BLDGAS,N,Null or Missing,Not Reported
BLDGAS,N,1,Arterial
BLDGAS,N,2,Capillary
BLDGAS,N,3,Venous
BLDGAS,N,**OTHER**,Unknown
BLOCUS,N,Null or Missing,Not Reported
BLOCUS,N,0,0
BLOCUS,N,5,5
BLOCUS,N,7,7
BLOCUS,N,8,8
BLOCUS,N,12,12
BLOCUS,N,13,13
BLOCUS,N,14,14
BLOCUS,N,15,15
BLOCUS,N,16,16
BLOCUS,N,17,17
BLOCUS,N,18,18
BLOCUS,N,21,21
BLOCUS,N,22,22
BLOCUS,N,27,27
BLOCUS,N,35,35
BLOCUS,N,37,37
BLOCUS,N,38,38
BLOCUS,N,39,39
BLOCUS,N,40,40
BLOCUS,N,41,41
BLOCUS,N,42,42
BLOCUS,N,44,44
BLOCUS,N,45,45
BLOCUS,N,46,46
BLOCUS,N,47,47
BLOCUS,N,48,48
BLOCUS,N,49,49
BLOCUS,N,50,50
BLOCUS,N,51,51
BLOCUS,N,52,52
BLOCUS,N,53,53
BLOCUS,N,54,54
BLOCUS,N,55,55
BLOCUS,N,56,56
BLOCUS,N,57,57
BLOCUS,N,58,58
BLOCUS,N,59,59
BLOCUS,N,60,60
BLOCUS,N,61,61
BLOCUS,N,62,62
BLOCUS,N,63,63
BLOCUS,N,64,64
BLOCUS,N,65,65
BLOCUS,N,67,67
BLOCUS,N,70,70
BLOCUS,N,71,71
BLOCUS,N,72,72
BLOCUS,N,73,73
BLOCUS,N,75,75
BLOCUS,N,76,76
BLOCUS,N,77,77
BLOCUS,N,78,78
BLOCUS,N,81,81
BLOCUS,N,82,82
BLOCUS,N,97,Unknown
BLOCUS,N,98,No second antigen detected
BLOCUS,N,99,Not Tested
BLOCUS,N,702,07:02
BLOCUS,N,703,703
BLOCUS,N,704,07:03
BLOCUS,N,714,07:14
BLOCUS,N,801,08:01
BLOCUS,N,802,08:02
BLOCUS,N,803,08:03
BLOCUS,N,804,08:04
BLOCUS,N,1301,13:01
BLOCUS,N,1302,13:02
BLOCUS,N,1304,13:04
BLOCUS,N,1401,14:01
BLOCUS,N,1402,14:02
BLOCUS,N,1501,15:01
BLOCUS,N,1502,15:02
BLOCUS,N,1503,15:03
BLOCUS,N,1504,15:04
BLOCUS,N,1506,15:06
BLOCUS,N,1507,15:07
BLOCUS,N,1510,15:10
BLOCUS,N,1511,15:11
BLOCUS,N,1512,15:12
BLOCUS,N,1513,15:13
BLOCUS,N,1516,15:16
BLOCUS,N,1517,15:17
BLOCUS,N,1518,15:18
BLOCUS,N,1520,15:20
BLOCUS,N,1521,15:21
BLOCUS,N,1522,15:22
BLOCUS,N,1524,15:24
BLOCUS,N,1527,15:27
BLOCUS,N,2703,27:03:00
BLOCUS,N,2704,27:04:00
BLOCUS,N,2705,27:05:00
BLOCUS,N,2706,27:06:00
BLOCUS,N,2708,27:08:00
BLOCUS,N,3501,35:01:00
BLOCUS,N,3502,35:02:00
BLOCUS,N,3503,35:03:00
BLOCUS,N,3508,35:08:00
BLOCUS,N,3512,35:12:00
BLOCUS,N,3801,38:01:00
BLOCUS,N,3802,38:02:00
BLOCUS,N,3901,39:01:00
BLOCUS,N,3902,39:02:00
BLOCUS,N,3904,39:04:00
BLOCUS,N,3905,39:05:00
BLOCUS,N,3906,39:06:00
BLOCUS,N,3913,39:13:00
BLOCUS,N,4001,40:01:00
BLOCUS,N,4002,40:02:00
BLOCUS,N,4003,40:03:00
BLOCUS,N,4004,40:04:00
BLOCUS,N,4005,40:05:00
BLOCUS,N,4006,40:06:00
BLOCUS,N,4101,41:01:00
BLOCUS,N,4102,41:02:00
BLOCUS,N,4201,42:01:00
BLOCUS,N,4202,42:02:00
BLOCUS,N,4402,44:02:00
BLOCUS,N,4403,44:03:00
BLOCUS,N,4415,44:15:00
BLOCUS,N,4801,48:01:00
BLOCUS,N,4802,48:02:00
BLOCUS,N,5001,50:01:00
BLOCUS,N,5002,50:02:00
BLOCUS,N,5101,51:01:00
BLOCUS,N,5102,51:02:00
BLOCUS,N,5103,51:03:00
BLOCUS,N,5501,55:01:00
BLOCUS,N,5502,55:02:00
BLOCUS,N,5504,55:04:00
BLOCUS,N,5601,56:01:00
BLOCUS,N,5603,56:03:00
BLOCUS,N,5701,57:01:00
BLOCUS,N,5703,57:03:00
BLOCUS,N,7801,78:01:00
BLOCUS,N,8201,82:01:00
BLOCUS,N,**OTHER**,Unknown
BRAINTUM,N,Null or Missing,Not Reported
BRAINTUM,N,1,Astrocytoma
BRAINTUM,N,2,Medulloblastoma
BRAINTUM,N,3,Glioblastoma Multiforme
BRAINTUM,N,4,Neuroblastoma
BRAINTUM,N,6,"Meningioma,Malignant"
BRAINTUM,N,7,"Meningioma,Benign"
BRAINTUM,N,8,Angioblastoma
BRAINTUM,N,9,Other Specify
BRAINTUM,N,**OTHER**,Unknown
BRNCHSTR,N,Null or Missing,Not Reported
BRNCHSTR,N,1,NO
BRNCHSTR,N,2,"BRONCHIAL STRICTURE, STENT"
BRNCHSTR,N,3,"BRONCHIAL STRICTURE, NO STENT"
BRNCHSTR,N,4,"BRONCHIAL STRICTURE, STENT UNKNOWN"
BRNCHSTR,N,998,UNKNOWN
BRNCHSTR,N,**OTHER**,Unknown
BRONCOBL,N,Null or Missing,Not Reported
BRONCOBL,N,1,NO BOS
BRONCOBL,N,2,"Yes, Grade OP"
BRONCOBL,N,3,"Yes, Grade 1"
BRONCOBL,N,4,"Yes, Grade 2"
BRONCOBL,N,5,"Yes, Grade 3"
BRONCOBL,N,6,"Yes, Grade UNK"
BRONCOBL,N,998,Unknown
BRONCOBL,N,**OTHER**,Unknown
CARDSURG,N,Null or Missing,Not Reported
CARDSURG,N,1,CABG
CARDSURG,N,2,Valve Replace/Repair
CARDSURG,N,3,CABG; Valve Replace/Repair
CARDSURG,N,4,Congenital
CARDSURG,N,5,CABG; Congenital
CARDSURG,N,6,Valve Replace/Repair; Congenital
CARDSURG,N,7,CABG; Valve Replace/Repair; Congenital
CARDSURG,N,8,Left Vent. Remodeling
CARDSURG,N,9,CABG; Left Vent. Remodeling
CARDSURG,N,10,Valve Replace/Repair; Left Vent. Remodeling
CARDSURG,N,11,CABG; Valve Replace/Repair; Left Vent. Remodeling
CARDSURG,N,12,Congenital; Left Vent. Remodeling
CARDSURG,N,13,CABG; Congenital; Left Vent. Remodeling
CARDSURG,N,14,Valve Replace/Repair; Congenital; Left Vent. Remodeling
CARDSURG,N,15,CABG; Valve Replace/Repair; Congenital; Left Vent. Remode
CARDSURG,N,16,"Other, specify"
CARDSURG,N,17,"CABG; Other, specify"
CARDSURG,N,18,"Valve Replace/Repair; Other, specify"
CARDSURG,N,19,"CABG; Valve Replace/Repair; Other, specify"
CARDSURG,N,20,"Congenital; Other, specify"
CARDSURG,N,21,"CABG; Congenital; Other, specify"
CARDSURG,N,22,"Valve Replace/Repair; Congenital; Other, specify"
CARDSURG,N,23,"CABG; Valve Replace/Repair; Congenital; Other, specify"
CARDSURG,N,24,"Left Vent. Remodeling; Other, specify"
CARDSURG,N,25,"CABG; Left Vent. Remodeling; Other, specify"
CARDSURG,N,26,"Valve Replace/Repair; Left Vent. Remodeling; Other, speci"
CARDSURG,N,27,"CABG; Valve Replace/Repair; Left Vent. Remodeling; Other,"
CARDSURG,N,28,"Congenital; Left Vent. Remodeling; Other, specify"
CARDSURG,N,29,"CABG; Congenital; Left Vent. Remodeling; Other, specify"
CARDSURG,N,30,Valve Replace/Repair; Congenital; Left Vent. Remodeling;
CARDSURG,N,31,CABG; Valve Replace/Repair; Congenital; Left Vent. Remode
CARDSURG,N,**OTHER**,Unknown
CHDMULT,N,Null or Missing,Not Reported
CHDMULT,N,1,Atrial Isomerism/Heterotaxy
CHDMULT,N,2,Hypoplastic Left Heart Syndrome
CHDMULT,N,3,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,4,Transposition of the Great Arteries
CHDMULT,N,5,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,6,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,7,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,8,Atrioventricular Septal Defect
CHDMULT,N,9,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,10,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,11,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,12,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,13,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,14,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,15,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,16,Other left Heart Valvar/Structural Hypoplasia
CHDMULT,N,17,Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Stru
CHDMULT,N,18,Hypoplastic Left Heart Syndrome; Other left Heart Valvar/
CHDMULT,N,19,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,20,Transposition of the Great Arteries; Other left Heart Val
CHDMULT,N,21,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,22,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,23,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,24,Atrioventricular Septal Defect; Other left Heart Valvar/S
CHDMULT,N,25,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,26,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,27,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,28,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,29,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,30,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,31,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,32,Truncus Arteriosus
CHDMULT,N,33,Atrial Isomerism/Heterotaxy; Truncus Arteriosus
CHDMULT,N,34,Hypoplastic Left Heart Syndrome; Truncus Arteriosus
CHDMULT,N,35,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,36,Transposition of the Great Arteries; Truncus Arteriosus
CHDMULT,N,37,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,38,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,39,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,40,Atrioventricular Septal Defect; Truncus Arteriosus
CHDMULT,N,41,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,42,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,43,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,44,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,45,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,46,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,47,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,48,Other left Heart Valvar/Structural Hypoplasia; Truncus Ar
CHDMULT,N,49,Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Stru
CHDMULT,N,50,Hypoplastic Left Heart Syndrome; Other left Heart Valvar/
CHDMULT,N,51,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,52,Transposition of the Great Arteries; Other left Heart Val
CHDMULT,N,53,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,54,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,55,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,56,Atrioventricular Septal Defect; Other left Heart Valvar/S
CHDMULT,N,57,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,58,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,59,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,60,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,61,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,62,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,63,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,64,Congenitally Corrected Transposition (L-TGA)
CHDMULT,N,65,Atrial Isomerism/Heterotaxy; Congenitally Corrected Trans
CHDMULT,N,66,Hypoplastic Left Heart Syndrome; Congenitally Corrected T
CHDMULT,N,67,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,68,Transposition of the Great Arteries; Congenitally Correct
CHDMULT,N,69,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,70,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,71,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,72,Atrioventricular Septal Defect; Congenitally Corrected Tr
CHDMULT,N,73,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,74,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,75,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,76,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,77,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,78,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,79,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,80,Other left Heart Valvar/Structural Hypoplasia; Congenital
CHDMULT,N,81,Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Stru
CHDMULT,N,82,Hypoplastic Left Heart Syndrome; Other left Heart Valvar/
CHDMULT,N,83,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,84,Transposition of the Great Arteries; Other left Heart Val
CHDMULT,N,85,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,86,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,87,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,88,Atrioventricular Septal Defect; Other left Heart Valvar/S
CHDMULT,N,89,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,90,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,91,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,92,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,93,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,94,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,95,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,96,Truncus Arteriosus; Congenitally Corrected Transposition
CHDMULT,N,97,Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Congenit
CHDMULT,N,98,Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Cong
CHDMULT,N,99,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,100,Transposition of the Great Arteries; Truncus Arteriosus;
CHDMULT,N,101,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,102,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,103,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,104,Atrioventricular Septal Defect; Truncus Arteriosus; Conge
CHDMULT,N,105,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,106,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,107,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,108,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,109,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,110,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,111,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,112,Other left Heart Valvar/Structural Hypoplasia; Truncus Ar
CHDMULT,N,113,Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Stru
CHDMULT,N,114,Hypoplastic Left Heart Syndrome; Other left Heart Valvar/
CHDMULT,N,115,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,116,Transposition of the Great Arteries; Other left Heart Val
CHDMULT,N,117,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,118,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,119,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,120,Atrioventricular Septal Defect; Other left Heart Valvar/S
CHDMULT,N,121,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,122,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,123,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,124,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,125,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,126,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,127,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,128,Pulmonary Atresia with Intact Ventricular Septum
CHDMULT,N,129,Atrial Isomerism/Heterotaxy; Pulmonary Atresia with Intac
CHDMULT,N,130,Hypoplastic Left Heart Syndrome; Pulmonary Atresia with I
CHDMULT,N,131,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,132,Transposition of the Great Arteries; Pulmonary Atresia wi
CHDMULT,N,133,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,134,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,135,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,136,Atrioventricular Septal Defect; Pulmonary Atresia with In
CHDMULT,N,137,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,138,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,139,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,140,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,141,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,142,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,143,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,144,Other left Heart Valvar/Structural Hypoplasia; Pulmonary
CHDMULT,N,145,Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Stru
CHDMULT,N,146,Hypoplastic Left Heart Syndrome; Other left Heart Valvar/
CHDMULT,N,147,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,148,Transposition of the Great Arteries; Other left Heart Val
CHDMULT,N,149,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,150,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,151,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,152,Atrioventricular Septal Defect; Other left Heart Valvar/S
CHDMULT,N,153,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,154,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,155,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,156,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,157,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,158,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,159,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,160,Truncus Arteriosus; Pulmonary Atresia with Intact Ventric
CHDMULT,N,161,Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Pulmonar
CHDMULT,N,162,Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Pulm
CHDMULT,N,163,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,164,Transposition of the Great Arteries; Truncus Arteriosus;
CHDMULT,N,165,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,166,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,167,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,168,Atrioventricular Septal Defect; Truncus Arteriosus; Pulmo
CHDMULT,N,169,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,170,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,171,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,172,Transposition of the Great Arteries; Atrioventricular Sep
CHDMULT,N,173,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,174,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,175,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,176,Other left Heart Valvar/Structural Hypoplasia; Truncus Ar
CHDMULT,N,177,Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Stru
CHDMULT,N,178,Hypoplastic Left Heart Syndrome; Other left Heart Valvar/
CHDMULT,N,179,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,180,Transposition of the Great Arteries; Other left Heart Val
CHDMULT,N,181,Atrial Isomerism/Heterotaxy; Transposition of the Great A
CHDMULT,N,182,Hypoplastic Left Heart Syndrome; Transposition of the Gre
CHDMULT,N,183,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
CHDMULT,N,184,Atrioventricular Septal Defect; Other left Heart Valvar/S
CHDMULT,N,185,Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defe
CHDMULT,N,186,Hypoplastic Left Heart Syndrome; Atrioventricular Septal
CHDMULT,N,187,Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndr
